"","Active cases"
"20/03","800"
"21/03","1,013"
"22/03","1,274"
"23/03","1,575"
"24/03","1,928"
"25/03","2,291"
"26/03","2,644"
"27/03","2,962"
"28/03","3,402"
"29/03","3,742"
"30/03","3,940"
"31/03","4,196"
"01/04","4,425"
"02/04","4,540"
"03/04","4,698"
"04/04","4,835"
"05/04","3,342"
"06/04","3,326"
"07/04","3,320"
"08/04","3,157"
"09/04","3,067"
"10/04","3,017"
"11/04","2,979"
"12/04","2,926"
"13/04","2,809"
"14/04","2,753"
"15/04","2,885"
"16/04","2,856"
"17/04","2,829"
"18/04","2,522"
"19/04","2,497"
"20/04","2,481"
"21/04","2,066"
"22/04","1,830"
"23/04","1,727"
"24/04","1,650"
"25/04","1,429"
"26/04","1,277"
"27/04","1,237"
"28/04","1,206"
"29/04","1,174"
"30/04","1,133"
"01/05","1,114"
"02/05","1,080"
"03/05","1,075"
"04/05","1,053"
"05/05","1,048"
"06/05","983"
"07/05","946"
"08/05","918"
"09/05","879"
"10/05","862"
"11/05","853"
"12/05","822"
"13/05","791"
"14/05","781"
"15/05","775"
"16/05","762"
"17/05","767"
"18/05","748"
"19/05","737"
"20/05","717"
"21/05","692"
"22/05","694"
"23/05","694"
"24/05","682"
"25/05","663"
"26/05","658"
"27/05","657"
"28/05","653"
"29/05","669"
"30/05","647"
"31/05","659"
"01/06","663"
"02/06","675"
"03/06","668"
"04/06","649"
"05/06","644"
"06/06","638"
"07/06","633"
"08/06","634"
"09/06","623"
"10/06","608"
"11/06","309"
"12/06","144"
"13/06","137"
"14/06","128"
"15/06","130"
"16/06","139"
"17/06","152"
"18/06","173"
"19/06","179"
"20/06","197"
"21/06","214"
"22/06","220"
"23/06","224"
"24/06","244"
"25/06","174"
"26/06","195"
"27/06","217"
"28/06","245"
"29/06","304"
"30/06","339"
"01/07","386"
"02/07","431"
"03/07","458"
"04/07","523"
"05/07","563"
"06/07","668"
"07/07","795"
"08/07","887"
"09/07","960"
"10/07","1188"
"11/07","1287"
"12/07","1524"
"13/07","1661"
"14/07","1864"
"15/07","2009"
"16/07","2210"
"17/07","2548"
"18/07","2701"
"19/07","2948"
"20/07","3027"
"21/07","3266"
"22/07","3544"
"23/07","3777"
"24/07","3887"
"25/07","4156"
"26/07","4400"
"27/07","4713"
"28/07","4962"
"29/07","5047"
"30/07","5620"
"31/07","5988"
"01/08","6180"
"02/08","6592"
"03/08","6757"
"04/08","6998"
"05/08","7518"
"06/08","7753"
"07/08","7942"
"08/08","8109"
"09/08","8158"
"10/08","8173"
"11/08","8192"
"12/08","8192"
"13/08","8177"
"14/08","8189"
"15/08","8183"
"16/08","7971"
"17/08","7767"
"18/08","7556"
"19/08","7433"
"20/08","5130"
"21/08","4677"
"22/08","4555"
"23/08","4293"
"24/08","3972"
"25/08","3878"
"26/08","3717"
"27/08","3513"
"28/08","3343"
"29/08","3198"
"30/08","3046"
"31/08","2820"
"01/09","2729"
"02/09","2621"
"03/09","2497"
"04/09","2252"
"05/09","2147"
"06/09","2061"
"07/09","1954"
"08/09","1865"
"09/09","1797"
"10/09","1659"
"11/09","1514"
"12/09","1430"
"13/09","1340"
"14/09","1257"
"15/09","1220"
"16/09","1172"
"17/09","1127"
"18/09","1094"
"19/09","1000"
"20/09","903"
"21/09","813"
"22/09","768"
"23/09","682"
"24/09","654"
"25/09","595"
"26/09","553"
"27/09","506"
"28/09","455"
"29/09","420"
"30/09","391"
"01/10","369"
"02/10","337"
"03/10","312"
"04/10","304"
"05/10","286"
"06/10","269"
"07/10","248"
"08/10","248"
"09/10","243"
"10/10","236"
"11/10","239"
"12/10","239"
"13/10","241"
"14/10","249"
"15/10","250"
"16/10","227"
"17/10","226"
"18/10","219"
"19/10","217"
"20/10","229"
"21/10","215"
"22/10","220"
"23/10","223"
"24/10","222"
"25/10","229"
"26/10","214"
"27/10","211"
"28/10","202"
"29/10","202"
"30/10","201"
"31/10","190"
"01/11","175"
"02/11","156"
"03/11","134"
"04/11","116"
"05/11","107"
"06/11","106"
"07/11","94"
"08/11","89"
"09/11","85"
"10/11","76"
"11/11","76"
"12/11","76"
"13/11","76"
"14/11","76"
"15/11","76"
"16/11","86"
"17/11","86"
"18/11","94"
"19/11","94"
"20/11","97"
"21/11","90"
"22/11","90"
"23/11","93"
"24/11","99"
"25/11","101"
"26/11","100"
"27/11","88"
"28/11","77"
"29/11","75"
"30/11","65"
"01/12","57"
"02/12","52"
"03/12","52"
"04/12","47"
"05/12","45"
"06/12","46"
"07/12","46"
"08/12","49"
"09/12","46"
"10/12","49"
"11/12","49"
"12/12","54"
"13/12","53"
"14/12","48"
"15/12","47"
"16/12","49"
"17/12","52"
"18/12","65"
"19/12","92"
"20/12","122"
"21/12","134"
"22/12","139"
